UPRN,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE
22214306,531179.0,103942.0,50.8201664,-0.1390618
22214319,531136.0,103924.0,50.8200143,-0.1396783
22214468,533983.0,104358.0,50.8232641,-0.099126
22214502,533014.0,103786.0,50.8183463,-0.1130827
22214507,533061.0,103663.0,50.81723,-0.1124604
22214512,531508.0,104290.0,50.8232196,-0.1342691
22214624,531828.0,104425.0,50.8243603,-0.12968
22214634,531152.0,104374.0,50.8240553,-0.1392905
22214636,531131.0,104227.0,50.8227388,-0.139641
22214642,531326.0,104834.0,50.8281503,-0.1366568
22214645,531247.0,104807.0,50.8279255,-0.1377876
22214651,531248.0,105185.0,50.8313227,-0.1376382
22214656,531008.0,104254.0,50.8230093,-0.1413766
22214672,532264.0,105265.0,50.8318107,-0.1231905
22214735,530822.0,104084.0,50.8215233,-0.1440765
22215104,531297.0,104482.0,50.8249931,-0.1371943
22215231,530373.0,104274.0,50.8233322,-0.1503798
22215314,532354.0,103806.0,50.818677,-0.1224394
22215403,531038.0,104423.0,50.8245214,-0.1408906
22215408,531089.0,104908.0,50.828869,-0.1399936
22215421,530565.0,104828.0,50.8282683,-0.1474583
22215438,531226.0,103879.0,50.8195895,-0.1384174
22215443,530813.0,104314.0,50.8235926,-0.1441222
22215471,530973.0,104812.0,50.8280324,-0.1416741
22215479,530940.0,104568.0,50.8258468,-0.1422295
22215490,531601.0,106093.0,50.8394036,-0.1323029
22215516,536802.0,102754.0,50.8081899,-0.0597253
22215539,535424.0,105832.0,50.8361767,-0.0781357
22215543,528285.0,107207.0,50.8501601,-0.1789825
22215615,528679.0,105575.0,50.8354042,-0.173961
22215623,528644.0,105302.0,50.8329582,-0.1745535
22215690,528947.0,104804.0,50.8284147,-0.170428
22216512,528586.0,104761.0,50.8281085,-0.1755662
22216552,528806.0,105648.0,50.8360321,-0.1721328
22216631,531388.0,104638.0,50.8263746,-0.1358472
22216904,524992.0,107180.0,50.8506371,-0.2257463
22216988,526673.0,104747.0,50.8284038,-0.2027192
22216993,526330.0,105172.0,50.8322986,-0.2074405
22217046,530456.0,105246.0,50.8320498,-0.1488566
22217088,531053.0,104156.0,50.8221183,-0.1407731
22220031,531079.0,104667.0,50.8267052,-0.1402216
22220056,537017.0,102190.0,50.8030702,-0.0568861
22220142,530867.0,103987.0,50.8206414,-0.1434726
22220154,531143.0,104378.0,50.8240932,-0.1394168
22220158,530940.0,103961.0,50.8203912,-0.1424461
22220172,530991.0,104103.0,50.8216559,-0.1416718
22220174,528433.0,104919.0,50.8295625,-0.1776821
22220176,526475.0,105589.0,50.8360151,-0.2052388
22220197,531178.0,103988.0,50.8205801,-0.1390595
22220217,531336.0,105570.0,50.8347631,-0.1362516
22220235,531126.0,104045.0,50.8211041,-0.139777
22220237,531126.0,104045.0,50.8211041,-0.139777
22220239,531126.0,104045.0,50.8211041,-0.139777
22220240,531126.0,104045.0,50.8211041,-0.139777
22220241,531126.0,104045.0,50.8211041,-0.139777
22220242,531126.0,104045.0,50.8211041,-0.139777
22220243,531126.0,104045.0,50.8211041,-0.139777
22220244,531126.0,104045.0,50.8211041,-0.139777
22220247,531126.0,104045.0,50.8211041,-0.139777
22220249,531126.0,104045.0,50.8211041,-0.139777
22220251,531064.0,104060.0,50.821253,-0.1406513
22220296,530568.0,106763.0,50.8456593,-0.1467272
22220326,533586.0,105391.0,50.8326399,-0.1043831
22220335,532648.0,103698.0,50.8176392,-0.1183072
22220342,531173.0,104194.0,50.8224327,-0.1390568
22220391,531197.0,104622.0,50.8262741,-0.1385633
22220444,531495.0,104682.0,50.8267458,-0.134313
22220529,530464.0,104360.0,50.8240847,-0.149058
22220590,530130.0,104377.0,50.8243125,-0.1537914
22220651,532297.0,105362.0,50.832675,-0.1226872
22220658,531096.0,104247.0,50.8229265,-0.1401305
22220667,531532.0,104728.0,50.8271508,-0.1337715
22220691,531364.0,103965.0,50.8203312,-0.1364287
22220692,531364.0,103965.0,50.8203312,-0.1364287
22220693,531364.0,103965.0,50.8203312,-0.1364287
22220694,531364.0,103965.0,50.8203312,-0.1364287
22220709,531616.0,104028.0,50.8208403,-0.1328306
22220739,530878.0,104295.0,50.8234071,-0.1432066
22220862,531495.0,104682.0,50.8267458,-0.134313
22220901,531423.0,104464.0,50.8248028,-0.1354128
22220938,532334.0,106175.0,50.8399736,-0.1218689
22220985,530751.0,104066.0,50.8213776,-0.1450903
22221036,530653.0,104640.0,50.8265587,-0.1462764
22221096,529269.0,105395.0,50.833655,-0.1656503
22221124,531098.0,104318.0,50.8235641,-0.1400767
22221132,530607.0,105028.0,50.8300564,-0.1467911
22221133,530612.0,105018.0,50.8299654,-0.1467237
22221134,530614.0,105020.0,50.8299829,-0.1466946
22221135,530616.0,105023.0,50.8300094,-0.1466651
22221136,530627.0,105034.0,50.8301058,-0.1465051
22221137,530630.0,105037.0,50.8301321,-0.1464615
22221139,530606.0,105040.0,50.8301645,-0.146801
22221144,531639.0,104020.0,50.8207632,-0.1325071
22221177,529951.0,104223.0,50.8229685,-0.1563859
22221215,531468.0,105403.0,50.8332322,-0.1344379
22221218,531468.0,105403.0,50.8332322,-0.1344379
22221232,531468.0,105403.0,50.8332322,-0.1344379
22221251,531468.0,105403.0,50.8332322,-0.1344379
22221256,531468.0,105403.0,50.8332322,-0.1344379
22221257,531468.0,105403.0,50.8332322,-0.1344379
22221259,531468.0,105403.0,50.8332322,-0.1344379
22221306,531009.51,104906.59,50.8288743,-0.1411222
22221308,530995.86,104908.0,50.8288901,-0.1413154
22221317,529240.0,104652.0,50.8269833,-0.1663236
22221322,532059.0,105613.0,50.8349852,-0.1259747
22221324,530574.0,108764.0,50.8636422,-0.1459288
22221332,530928.0,104530.0,50.825508,-0.1424133
22221350,530930.0,104663.0,50.8267029,-0.1423375
22221351,530963.0,104639.0,50.8264798,-0.1418777
22221358,533322.0,103551.0,50.8161634,-0.1087982
22221368,530713.41,104220.47,50.8227744,-0.1455687
22221375,526216.0,104960.0,50.830418,-0.2091314
22221379,526226.0,104995.0,50.8307304,-0.2089775
22221384,526606.0,104779.0,50.8287061,-0.203659
22221396,528301.0,104873.0,50.8291783,-0.1795715
22221410,536883.0,102412.0,50.8050971,-0.0587039
22221413,529995.0,104464.0,50.8251248,-0.1556762
22221423,528513.0,104771.0,50.8282145,-0.1765986
22221425,529204.0,104715.0,50.8275576,-0.1668122
22221426,529201.0,104708.0,50.8274953,-0.1668573
22221428,528914.0,104714.0,50.8276132,-0.170928
22221563,526377.0,105435.0,50.8346523,-0.2066829
22221565,526379.0,105441.0,50.8347058,-0.2066524
22221566,526374.0,105429.0,50.834599,-0.2067275
22221567,526340.0,105323.0,50.8336537,-0.2072466
22221568,526362.0,105420.0,50.8345207,-0.2069009
22221569,526384.0,105452.0,50.8348036,-0.2065777
22221570,526387.0,105471.0,50.8349737,-0.2065285
